 ------------------------------------
 #p opt b3lyp/6-31g geom=connectivity
 ------------------------------------

 -------------------
 Title Card Required
 -------------------

                         Standard orientation:
---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        4.974268   -3.226835   -0.036642
      2          6           0        3.699433   -3.853035   -0.045496
      3          6           0        2.482635   -3.084243   -0.030554
      4          6           0        2.510390   -1.611698    0.042903
      5          6           0        3.873151   -0.956346    0.004293
      6          6           0        5.055550   -1.775911   -0.027221
      7          6           0        1.246834   -3.810964   -0.049914
      8          6           0        0.001836   -1.755950    0.040052
      9          6           0       -0.006893   -3.146946   -0.046266
     10          6           0       -1.266904   -3.806141   -0.056071
     11          6           0       -2.507729   -3.076754   -0.039443
     12          6           0       -2.540319   -1.604092    0.010651
     13          6           0       -1.227165   -0.985609    0.088298
     14          6           0        1.212305   -1.005262    0.142958
     15          6           0        0.744957    0.388070    0.556303
     16          6           0       -0.783430    0.381043    0.224875
     17          6           0        4.086754    0.503652   -0.064805
     18          6           0        1.583823    1.511103    0.059334
     19          6           0        3.063326    1.467953   -0.103066
     20          6           0       -3.896376   -0.954380   -0.009510
     21          6           0       -1.613495    1.481613    0.173284
     22          6           0       -3.101859    1.469421    0.033175
     23          6           0        3.449171    2.834779   -0.234094
     24          6           0        1.207086    2.840580    0.029190
     25          6           0       -1.229061    2.861539    0.208826
     26          6           0       -3.467195    2.833644   -0.029510
     27          6           0        2.344120    3.651405   -0.173202
     28          6           0       -2.358154    3.652228    0.057190
     29          6           0        0.017828    3.558507    0.506583
     30          6           0        2.413113    5.027642   -0.144543
     31          6           0       -0.000576    5.059488    0.079363
     32          6           0       -2.421864    5.041828   -0.018520
     33          6           0       -3.690325    5.644199   -0.117689
     34          6           0       -4.851405    4.817237   -0.132589
     35          6           0       -4.725012    3.396044   -0.111047
     36          6           0       -1.206599    5.775196   -0.023599
     37          6           0        1.194884    5.770070   -0.070451
     38          6           0        3.686442    5.638420   -0.179816
     39          6           0        4.706981    3.391348   -0.220651
     40          6           0        5.473939    1.067104   -0.107097
     41          6           0        6.406656   -1.207923   -0.060311
     42          6           0        6.158971   -4.042245   -0.050002
     43          6           0        7.567668   -2.038898   -0.068750
     44          6           0        6.594249    0.206517   -0.087619
     45          6           0        5.766942    2.483068   -0.151823
     46          6           0        4.838738    4.815048   -0.192384
     47          6           0        7.460464   -3.462210   -0.058132
     48          6           0       -6.167539    5.389805   -0.149711
     49          6           0       -5.784582    2.490267   -0.114600
     50          6           0       -5.497853    1.071301   -0.080166
     51          6           0       -5.083084   -1.775327   -0.043961
     52          6           0       -3.722859   -3.847832   -0.052060
     53          6           0       -6.428191   -1.202875   -0.068966
     54          6           0       -6.616059    0.212438   -0.088666
     55          6           0       -7.101889    3.073372   -0.129803
     56          6           0       -7.251465    4.511675   -0.142282
     57          6           0       -4.119481    0.504516   -0.018770
     58          6           0       -5.000118   -3.222021   -0.050470
     59          6           0        6.075558   -5.482060   -0.053059
     60          6           0        3.641312   -5.303505   -0.055106
     61          6           0        1.215009   -5.256482   -0.056003
     62          6           0       -1.240249   -5.254919   -0.056474
     63          6           0       -3.666673   -5.298933   -0.056526
     64          6           0        8.628766   -4.282988   -0.060166
     65          6           0        4.810809   -6.068386   -0.048198
     66          1           0        4.725058   -7.150473   -0.038857
     67          6           0        2.412249   -5.962979   -0.049548
     68          6           0        8.521949   -5.718199   -0.050527
     69          6           0        7.236707   -6.276429   -0.045937
     70          1           0        7.124427   -7.356703   -0.036598
     71          6           0       -2.438329   -5.959920   -0.050571
     72          1           0       -2.421493   -7.044964   -0.041164
     73          1           0        2.394004   -7.048003   -0.040207
     74          6           0       -0.013028   -5.926109   -0.050353
     75          1           0       -0.013713   -7.011569   -0.040988
     76          6           0        6.155583    5.382065   -0.147220
     77          6           0        7.087119    3.064492   -0.126936
     78          6           0        7.937118    0.775892   -0.106942
     79          6           0        8.897949   -1.467805   -0.087302
     80          6           0        9.943239   -3.694409   -0.067794
     81          6           0        9.701139   -6.514022   -0.043399
     82          6           0        7.238397    4.502694   -0.139406
     83          6           0        8.152525    2.177199   -0.119049
     84          1           0        9.175910    2.540987   -0.121997
     85          6           0        9.040487   -0.074502   -0.099346
     86          1           0       10.038429    0.353239   -0.102866
     87          6           0       10.034082   -2.294869   -0.079907
     88          6           0       11.092477   -4.531034   -0.060318
     89          1           0       12.074671   -4.069546   -0.064126
     90          6           0       10.961039   -5.918940   -0.048310
     91          1           0        8.251387    4.896794   -0.142594
     92          1           0       11.014391   -1.826964   -0.083776
     93          1           0        9.601194   -7.594614   -0.034050
     94          1           0       11.849630   -6.542527   -0.042731
     95          6           0       -6.229603    6.845747   -0.162322
     96          6           0       -3.760998    7.086959   -0.163948
     97          6           0       -1.249950    7.207249   -0.164448
     98          6           0        1.240195    7.205717   -0.163996
     99          6           0        3.751194    7.082313   -0.162406
    100          6           0        6.219446    6.837998   -0.159825
    101          6           0        5.099372    7.632391   -0.166941
    102          6           0        2.553440    7.818357   -0.169062
    103          6           0       -0.004360    7.896316   -0.170191
    104          1           0       -0.003823    8.983448   -0.179663
    105          6           0       -2.562298    7.821544   -0.170079
    106          6           0       -5.108535    7.638737   -0.168977
    107          1           0        7.200432    7.305161   -0.163684
    108          1           0        5.215399    8.712741   -0.176274
    109          1           0        2.608499    8.904272   -0.178445
    110          1           0       -2.616110    8.907517   -0.179502
    111          1           0       -5.223264    8.719226   -0.178369
    112          6           0       -8.168424    2.187391   -0.122328
    113          6           0       -7.954965    0.785781   -0.110116
    114          6           0       -4.836992   -6.062396   -0.050181
    115          6           0       -6.184668   -4.035263   -0.058642
    116          6           0       -7.591098   -2.032167   -0.076505
    117          6           0       -9.059444   -0.063166   -0.103004
    118          6           0       -6.101211   -5.474476   -0.055478
    119          6           0       -7.484281   -3.453268   -0.066068
    120          6           0       -8.918738   -1.456720   -0.090865
    121          1           0       -4.752831   -7.144600   -0.040751
    122          6           0      -10.055840   -2.282365   -0.083952
    123          6           0       -8.654861   -4.273424   -0.064986
    124          6           0       -7.263371   -6.267557   -0.048861
    125          6           0       -8.547945   -5.707704   -0.053950
    126          6           0       -9.966431   -3.682150   -0.071788
    127          1           0       -7.152569   -7.347857   -0.039459
    128          6           0      -11.116848   -4.517221   -0.064774
    129          6           0       -9.728140   -6.502110   -0.047295
    130          6           0      -10.987224   -5.905269   -0.052717
    131          1           0      -11.876691   -6.527604   -0.047495
    132          1           0       -7.209866    7.314121   -0.166577
    133          1           0       -8.263808    4.907092   -0.145913
    134          1           0       -9.191188    2.552594   -0.125683
    135          1           0      -10.056799    0.365779   -0.106894
    136          1           0      -11.035594   -1.813677   -0.088194
    137          1           0      -12.098332   -4.054425   -0.068978
    138          1           0       -9.629518   -7.582658   -0.037909
    139          8           0        0.693349    0.410760    2.002396
    140          8           0       -0.012807    3.556082    1.974881
    141          3           0        0.460570    2.008063    2.748700
 ---------------------------------------------------------------------

 GradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGrad
 Step Number  1

 GradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGradGrad

                         Standard orientation:
---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        4.975530   -3.226675   -0.037110
      2          6           0        3.700634   -3.852872   -0.045733
      3          6           0        2.483852   -3.084151   -0.030623
      4          6           0        2.511698   -1.611400    0.042638
      5          6           0        3.874554   -0.956133    0.004560
      6          6           0        5.056825   -1.775841   -0.027486
      7          6           0        1.247955   -3.810924   -0.049963
      8          6           0        0.001651   -1.756726    0.041182
      9          6           0       -0.006207   -3.147486   -0.045399
     10          6           0       -1.266025   -3.806579   -0.055502
     11          6           0       -2.506444   -3.077406   -0.038618
     12          6           0       -2.538641   -1.604551    0.013613
     13          6           0       -1.226590   -0.987958    0.093005
     14          6           0        1.213214   -1.005647    0.142201
     15          6           0        0.746569    0.386936    0.542121
     16          6           0       -0.781196    0.380609    0.243824
